OBJECTID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,STREETSUFF,CITY,STATE,zipcode,PRKTYPE,PRKCAT,PRKSTATUS,PRKDIST,PRKSIZE,PRKXCOORD,PRKYCOORD,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,UPSIZE_TS,X,Y,LEASEDID,parklatitude,parklongitude
120,MATM,Matthews-Mint Hill Park,3024 MATTHEWS-MINT HILL RD,0, , , , ,MATTHEWS,NC,28105,Regional,General,Undeveloped,South,,,,9803141003,,,,District 6,2007/02/28 00:00:00+00,,,1496506.508,507596.2915,Mecklenburg,35.132749,-80.683217
115,FRST,First Ward Park,309 E 7TH ST,309,E,7TH,ST, ,CHARLOTTE,NC,28202,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 4,2015/12/08 00:00:00+00,,,1451815.426,542871.3429,Mecklenburg,35.227502,-80.837142
17,MEMS,American Legion Memorial Stadium,310 N KINGS DR,310,N,KINGS,DR, ,CHARLOTTE,NC,28204,Event Venue,Venue,Under Construction,Central,,,,7043362884,,,District 1,District 4,1998/07/28 00:00:00+00,,,1453905.874,539746.4418,Mecklenburg,35.219122,-80.829247
176,GRDY,Grady Cole Center,310 N KINGS DR,310,N,KINGS,DR, ,CHARLOTTE,NC,28204,Event Venue,Venue,Developed,Central,,,,7043362884,,,District 1,District 4,1998/07/28 00:00:00+00,,,1453709.899,539716.0994,Mecklenburg,35.219122,-80.829247
133,FTRP,Fountain Rock Park,311 S TRADE ST,311,S,TRADE,ST,,MATTHEWS,NC,28105,Town Park,General,Developed,South,,,,7043217275,,,,District 6,,,,1485305.583,499137.3433,Matthews,35.109321,-80.721406
184,GRHT,Grier Heights Park,3120 LEROY ST,3110, ,LEROY,ST, ,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 4,2007/07/16 00:00:00+00,,,1459885.996,531103.8159,Mecklenburg,35.195684,-80.808175
150,CLAP,Dorothy D. Waddy Pavilion,3132 MANCHESTER DR,3132,,MANCHESTER,DR,,CHARLOTTE,NC,28217,Pavilion,Venue,Developed,Central,,,,9803141002,,,District 3,District 2,2019/02/25 16:36:18+00,,,1437385.001,535127.0001,Mecklenburg,35.205701,-80.883587
50,CGTL,Caldwell Green Tot Lot,320 CALDWELL LN,320,,CALDWELL,LN,,DAVIDSON,NC,28036,Town Park,General,Developed,North,,,,7048923349,,,,District 1,,,,1454775.465,639323.6944,Davidson,35.49273,-80.831891
106,KPPK,KP Park,320 E MATTHEWS ST,320,E,MATTHEWS,ST,,MATTHEWS,NC,28105,Town Park,General,Developed,South,,,,7043217275,,,,District 6,,,,1486277.079,501986.1541,Matthews,35.117105,-80.718055
39,MTHP,Methodist Home Park,3200 SHAMROCK DR,3200, ,SHAMROCK,DR, ,CHARLOTTE,NC,28205,Neighborhood,General,Developed,South,,,,9803141003,,,District 1,District 4,1998/07/28 00:00:00+00,,,1470191.876,544757.6256,Mecklenburg,35.235156,-80.773025
291,MTHC,Methodist Home Recreation Center,3200 SHAMROCK DR,3200, ,SHAMROCK,DR, ,CHARLOTTE,NC,28205,Recreation Center,RecCenter,Developed,South,,,,9803141123,,,District 1,District 4,1998/07/28 00:00:00+00,,,1470575.456,545221.9688,Mecklenburg,35.235156,-80.773025
268,REID,Reid Park,3207 AMAY JAMES AV,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28208,Neighborhood,General,Developed,Central,,,,9803141002,,,District 3,District 2,1998/10/12 00:00:00+00,,,1432367.44,534637.1879,Mecklenburg,35.204252,-80.900194
73,LKWD,Lakewood Park,3207 KALYNNE ST,0, , , , ,CHARLOTTE,NC,28208,Neighborhood,General,Developed,Central,,,,9803141002,,,District 2,District 2,,,,1439226.176,552307.85,Mecklenburg,35.251681,-80.879726
121,SOLO,Solomans Park,3299 VENICE ST,3299, ,VENICE,ST, ,CHARLOTTE,NC,28216,Neighborhood,General,Developed,Central,,,,9803141002,,,District 2,District 2,1998/07/28 00:00:00+00,,,1441622.376,555139.0659,Mecklenburg,35.260767,-80.870973
208,JACK,Jack Hughes Park,330 JACK HUGHES LN,330,,JACK HUGHES,LN,,PINEVILLE,NC,28134,Town Park,General,Developed,South,,,,7048892400,,,,District 6,,,,1433272.076,491510.1477,Pineville,35.085356,-80.89631
147,AFRM,Abersham Park,3314 GREY RD,3314,,GREY,RD,,DAVIDSON,NC,28036,Town Park,General,Developed,North,,,,7048923349,,,,District 1,2008/04/17 00:00:00+00,,,1463087.377,643919.2072,Davidson,35.505938,-80.803932
116,BCKP,Back Creek Park,3343 BACK CREEK CHURCH RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28213,Regional,General,Undeveloped,North,,,,9803141001,,,District 4,District 3,2002/03/18 00:00:00+00,,,1492047.596,564895.0866,Mecklenburg,35.290764,-80.701762
110,TPDP,The Preserve Dog Park,336 O HENRY AV,336,,O HENRY,AV,,DAVIDSON,NC,28036,Town Park,General,Developed,North,,,,7048923349,,,,District 1,,,,1455310.084,640786.4289,Davidson,35.496969,-80.830095
254,NCPK,North Charlotte Park,3400 SPENCER ST,3400, ,SPENCER,ST, ,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1463246.293,549329.7604,Mecklenburg,35.24548,-80.797644
86,HAWC,Hawthorne Recreation Center,345 HAWTHORNE LN,345, ,HAWTHORNE,LN, ,CHARLOTTE,NC,28204,Recreation Center,RecCenter,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1455564.45,538311.8351,Mecklenburg,35.215495,-80.823058
135,FSPK,Firestone Park,3501 FIRESTONE DR,3501, ,FIRESTONE,DR, ,CHARLOTTE,NC,28216,Community,General,Developed,North,,,,9803141001,,,District 2,District 2,1998/07/28 00:00:00+00,,,1441270.357,564949.7946,Mecklenburg,35.287758,-80.87338
256,DRTA,Derita Park,3509 FREW RD,3509, ,FREW,RD, ,CHARLOTTE,NC,28206,Community,General,Developed,North,,,,9803141001,,,District 1,District 3,1998/07/28 00:00:00+00,,,1460946.331,554062.2899,Mecklenburg,35.25977,-80.806533
142,OAKT,Oakhurst Park,3533 CRAIG AV,3533, ,CRAIG,AV, ,CHARLOTTE,NC,28211,Neighborhood,General,Developed,South,,,,9803141003,,,District 5,District 5,1998/07/28 00:00:00+00,,,1465359.696,529298.5952,Mecklenburg,35.192106,-80.789496
316,MRND,Possum Walk Nature Preserve,3540 MIRANDA RD,0, , , , ,CHARLOTTE,NC,28216,Nature Preserve,General,Undeveloped,North,,,,9803141001,,,,District 2,2014/08/06 00:00:00+00,,,1438355.381,581697.0666,Mecklenburg,35.333172,-80.886337
270,TRGL,Tradition Golf Course,3800 PROSPERITY CHURCH RD,3800, ,PROSPERITY CHURCH,RD, ,CHARLOTTE,NC,28269,Golf Course,Golf,Developed,North,,,,9803141001,,,District 4,District 1,1998/07/28 00:00:00+00,,,1470357.596,587398.5279,Mecklenburg,35.35082,-80.774356
202,OLDP,Olde Providence Park,3800 REA RD,3800, ,REA,RD, ,CHARLOTTE,NC,28226,Community,General,Developed,South,,,,9803141003,,,District 7,District 5,1998/07/28 00:00:00+00,,,1462464.343,499870.0594,Mecklenburg,35.110665,-80.798532
187,HOSK,Eva B. Barber Park,3801 GOSSETT AV,3801, ,GOSSETT,AV, ,CHARLOTTE,NC,28208,Neighborhood,General,Developed,North,,,,9803141001,,,District 2,District 2,1998/07/28 00:00:00+00,,,1437463.883,554782.8835,Mecklenburg,35.260521,-80.884195
223,WEST,Westerly Hills Park,3970 BRISTOL DR,3970, ,BRISTOL,DR, ,CHARLOTTE,NC,28208,Neighborhood,General,Developed,Central,,,,9803141002,,,District 3,District 2,1998/07/28 00:00:00+00,,,1431354.5,544156.9165,Mecklenburg,35.230217,-80.904893
213,MCCG,McAlpine Creek Community Garden,399 HOLLY LN,399,,HOLLY,LN,,CHARLOTTE,NC,28212,Community Garden,Garden,Developed,South,,,,9803141000,,,District 6,District 5,2018/08/24 00:00:00+00,,,1471179.235,509524.479,Mecklenburg,35.136017,-80.770686
45,SCES,Steele Creek Park,4000 GALLANT LN,4100, ,GALLANT,LN, ,CHARLOTTE,NC,28273,Neighborhood,General,Developed,South,,,,9803141003,,,District 3,District 2,1998/07/28 00:00:00+00,,,1415167.528,517582.4125,Mecklenburg,35.1534,-80.955961
10,OAKH,Oak Hills Park,4120 OAKDALE RD,4120,,OAKDALE,RD,,CHARLOTTE,NC,28216,Regional,General,Undeveloped,North,,,,9803141001,,,,District 1,2018/05/01 00:00:00+00,,,1430613.648,579807.8983,Mecklenburg,35.328064,-80.909036
152,HUTP,The Hut,413 JOHNSTON DR,413,,JOHNSTON,DR,,PINEVILLE,NC,28134,Town Park,General,Developed,South,,,,7048892400,,,,District 6,,,,1434315.263,490207.8774,Pineville,35.082134,-80.891021
137,EZEL,Ezell Farm Park,4155 MINTWOOD DR,4155, ,MINTWOOD,DR, ,MINT HILL,NC,28227,Community,General,Developed,South,,,,9803141003,,,,District 6,2003/07/11 00:00:00+00,,,1500639.634,516410.2285,Mecklenburg,35.156307,-80.671706
161,NINT,Ninth Street Park,417 W 9TH ST,417,W,9TH,ST, ,CHARLOTTE,NC,28202,Neighborhood,General,Developed,Central,,,,9803141002,,,District 2,District 4,1998/07/28 00:00:00+00,,,1450224.243,545218.4455,Mecklenburg,35.234055,-80.841426
25,RWPP,Roosevelt Wilson Park,420 GRIFFITH ST,420,,GRIFFITH,ST,,DAVIDSON,NC,28036,Town Park,General,Developed,North,,,,7048923349,,,,District 1,,,,1448301.34,643068.5452,Davidson,35.502436,-80.853409
14,MCKE,McKee Road Park,4201 MCKEE RD,4201, ,MCKEE,RD, ,CHARLOTTE,NC,28270,Community,General,Developed,South,,,,9803141003,,,District 7,District 6,1998/10/07 00:00:00+00,,,1474330.293,484449.0184,Mecklenburg,35.067439,-80.756582
189,FRPP,Forest Park Playground,421 N FAULKNER WY,421,N,FAULKNER,WY,,DAVIDSON,NC,28036,Town Park,General,Developed,North,,,,7048923349,,,,District 1,,,,1455570.025,640015.7189,Davidson,35.494866,-80.829235
173,EASP,Eastway Park,423 EASTWAY DR,423, ,EASTWAY,DR, ,CHARLOTTE,NC,28215,Community,General,Developed,North,,,,9803141001,,,District 1,District 3,2003/07/11 00:00:00+00,,,1468679.964,551894.8877,Mecklenburg,35.255751,-80.773758
253,EASR,Eastway Regional Recreation Center,423 EASTWAY DR,423, ,EASTWAY,DR, ,CHARLOTTE,NC,28215,Recreation Center,RecCenter,Developed,North,,,,9803141001,,,District 1,District 3,,,,1469889.38,552535.0569,Mecklenburg,35.255751,-80.773758
251,FULL,Fullwood Community Garden,427 COVENANT CHURCH LN,427,,COVENANT CHURCH,LN,,MATTHEWS,NC,28105,Town Park,General,Developed,South,,,,7047081288,,,,District 6,,,,1481763.333,503242.6049,Matthews,35.120329,-80.73318
194,COLB,Colonel Francis J. Beatty Park,4330 WEDDINGTON RD,4330, ,WEDDINGTON,RD, ,CHARLOTTE,NC,28105,Regional,General,Developed,South,,,,9803141003,,,District 7,District 6,1998/07/28 00:00:00+00,,,1482781.59,483948.3282,Mecklenburg,35.06745,-80.730087
43,RURL,Rural Hill Nature Preserve,4431 NECK RD,4431, ,NECK,RD, ,HUNTERSVILLE,NC,28078,Nature Preserve,General,Developed,North,,,,9803141001,,,,District 1,1998/07/28 00:00:00+00,,,1420177.126,600330.8759,Mecklenburg,35.385779,-80.945841
2,COLL,Collins Park,4525 COLLINGWOOD DR,4525, ,COLLINGWOOD,DR, ,CHARLOTTE,NC,28209,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 5,1998/07/28 00:00:00+00,,,1440896.75,526061.0002,Mecklenburg,35.181234,-80.871587
56,WRDP,William R. Davie Park,4635 PINEVILLE-MATTHEWS RD,4635, ,PINEVILLE-MATTHEWS,RD, ,CHARLOTTE,NC,28226,Regional,General,Developed,South,,,,9803141003,,,District 7,District 6,2008/05/14 00:00:00+00,,,1460098.028,492722.5787,Mecklenburg,35.085811,-80.804787
160,ALHP,Allen Hills Park,4701 CHEVIOT RD,4701, ,CHEVIOT,RD, ,CHARLOTTE,NC,28269,Neighborhood,General,Developed,North,,,,9803141001,,,District 4,District 3,2007/10/16 00:00:00+00,,,1457258.371,563623.9445,Mecklenburg,35.286045,-80.818622
65,TUCP,Tuckaseegee Park,4820 TUCKASEEGEE RD,4820, ,TUCKASEEGEE,RD, ,CHARLOTTE,NC,28208,Neighborhood,General,Developed,North,,,,9803141001,,,District 3,District 2,1998/07/28 00:00:00+00,,,1430415.472,550805.5421,Mecklenburg,35.24865,-80.907287
92,TUCC,Tuckaseegee Recreation Center,4820 TUCKASEEGEE RD,4820, ,TUCKASEEGEE,RD, ,CHARLOTTE,NC,28208,Recreation Center,RecCenter,Developed,North,,,,9803141001,,,District 3,District 2,1998/07/28 00:00:00+00,,,1430590.502,550832.1888,Mecklenburg,35.24865,-80.907287
123,STPH,Buckeye Cove Nature Preserve,4918 CASHION RD,0, , , , ,HUNTERSVILLE,NC,28078,Nature Preserve,General,Developed,North,,,,9803141001,,,,District 1,1998/07/28 00:00:00+00,,,1420020.678,610417.1214,Mecklenburg,35.406003,-80.94801
299,BIDD,Biddleville Park,500 ANDRILL TR,500, ,ANDRILL,TR, ,CHARLOTTE,NC,28216,Neighborhood,General,Developed,Central,,,,9803141002,,,District 2,District 2,2007/07/09 00:00:00+00,,,1447589.614,548667.2521,Mecklenburg,35.242548,-80.850673
197,MLKR,Martin Luther King Jr. Middle School Site,500 BILMARK AV,0, , , , ,CHARLOTTE,NC,28213,Recreation Center,RecCenter,Developed,North,,,,9803141124,,,District 4,District 3,,,,1468942.507,555464.0724,Mecklenburg,35.263288,-80.778569
166,CATW,US National Whitewater Center,5000 WHITEWATER CENTER PY,5000, ,WHITEWATER CENTER,PY, ,CHARLOTTE,NC,28214,Regional,General,Developed,North,,,,7043913900,,,,District 2,2008/04/21 00:00:00+00,,,1402482.619,559750.5007,USNWC,35.272432,-81.005261
303,WPRC,Wallace Pruitt Recreation Center,501 S BRUNS AV,0, , , , ,CHARLOTTE,NC,28208,Recreation Center,RecCenter,Developed,Central,,,,9803141114,,,District 2,District 2,,,,1443170.699,547226.3734,Mecklenburg,35.238919,-80.864749
84,MORG,Cherry Park,501 S TORRENCE ST,501,S,TORRENCE,ST,,CHARLOTTE,NC,28204,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1452582.271,536491.9297,Mecklenburg,35.209813,-80.832802
97,RIBW,Ribbonwalk Nature Preserve,5017 HOYT HINSON RD,5017, ,HOYT HINSON,RD, ,CHARLOTTE,NC,28269,Nature Preserve,General,Developed,North,,,,9803141000,,,District 2,District 3,2005/07/11 00:00:00+00,,,1457448.575,566045.9846,Mecklenburg,35.295505,-80.821699
227,ABRC,Albemarle Recreation Center,5027 IDLEWILD RD NORTH,5027,N,IDLEWILD,RD, ,CHARLOTTE,NC,28227,Recreation Center,RecCenter,Developed,South,,,,9803141101,,,District 5,District 4,2002/03/18 00:00:00+00,,,1484748.746,530702.9793,Mecklenburg,35.196063,-80.724896
225,DELL,Dellwood Center,508 DELLWOOD DR,508,,DELLWOOD,DR,,HUNTERSVILLE,NC,28078,Town Park,General,Developed,North,,,,7047662220,,,,District 1,,,,1453407.495,607319.1697,Huntersville,35.404437,-80.834516
186,LATC,Latta Recreation Center,510 E PARK AV,510, ,EAST PARK,AV, ,CHARLOTTE,NC,28203,Recreation Center,RecCenter,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1446945.096,536587.8853,Mecklenburg,35.21028,-80.851919
269,MIDT,Midtown Park,510 S KINGS DR,510,S,KINGS,DR, ,CHARLOTTE,NC,28204,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 4,2004/08/03 00:00:00+00,,,1451630.387,536701.9948,Mecklenburg,35.210561,-80.836164
13,AUTN,Auten Nature Preserve,5201 NECK RD,0, ,NO ADDRESS, , ,HUNTERSVILLE,NC,28078,Nature Preserve,General,Undeveloped,North,,,,9803141001,,,,District 1,2002/03/18 00:00:00+00,,,1423739.761,597954.1628,Mecklenburg,35.37906,-80.936116
8,LATT,Latta Place Historic Site,5225 SAMPLE RD B,5225, ,SAMPLE,RD, ,HUNTERSVILLE,NC,28216,Historic,Historic,Developed,North,,,,9803141001,,,,District 1,1998/07/28 00:00:00+00,,,1424655.47,589006.1421,Mecklenburg,35.35439,-80.930877
328,LATN,Latta Nature Preserve,5226 SAMPLE RD,5226, ,SAMPLE,RD, ,HUNTERSVILLE,NC,28216,Nature Preserve,General,Developed,North,,,,9803141129,,,,District 1,1998/07/28 00:00:00+00,,,1432158.248,591131.9673,Mecklenburg,35.351762,-80.930217
140,GRWP,Greenway Park,526 GREENWAY ST,526,,GREENWAY,ST,,HUNTERSVILLE,NC,28078,Town Park,General,Developed,North,,,,7047662220,,,,District 1,,,,1449771.011,607678.6263,Huntersville,35.40582,-80.846621
249,BRWD,Briarwood Park,5349 WATERWOOD ST,5349, ,WATERWOOD,ST, ,CHARLOTTE,NC,28215,Community,General,Developed,North,,,,9803141001,,,District 1,District 3,2002/03/18 00:00:00+00,,,1472738.399,552337.4335,Mecklenburg,35.254947,-80.767278
168,SEVP,Seversville Park,540 S BRUNS AV,540,S,BRUNS,AV, ,CHARLOTTE,NC,28217,Neighborhood,General,Developed,Central,,,,9803141002,,,District 2,District 2,2002/04/03 00:00:00+00,,,1442707.194,547178.6208,Mecklenburg,35.238752,-80.866685
318,ARCH,Archdale Park,5400 CHERRYCREST LN,5400, ,CHERRYCREST,LN, ,CHARLOTTE,NC,28217,Neighborhood,General,Developed,South,,,,9803141003,,,District 3,District 2,2008/09/02 00:00:00+00,,,1436172.61,515649.9863,Mecklenburg,35.152164,-80.884639
288,JUPK,Julian Underwood Park,5400 GALWAY DR,5400, ,GALWAY,DR, ,CHARLOTTE,NC,28215,Neighborhood,General,Developed,South,,,,9803141003,,,District 1,District 3,1998/07/28 00:00:00+00,,,1475166.988,547499.4936,Mecklenburg,35.241516,-80.757721
261,VIEW,Viewmont Park,5400 VIEWMONT DR,5400, ,VIEWMONT,DR, ,CHARLOTTE,NC,28215,Neighborhood,General,Developed,North,,,,9803141001,,,District 1,District 3,1998/07/28 00:00:00+00,,,1477494.418,554226.9274,Mecklenburg,35.261069,-80.750876
129,DAVS,Clarks Creek Nature Preserve,5434 HUCKS RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28269,Nature Preserve,General,Developed,North,,,,9803141001,,,District 4,District 1,2003/07/11 00:00:00+00,,,1460036.146,587879.0109,Mecklenburg,35.354048,-80.807893
81,DAVP,Clarks Creek Park,5435 HUCKS RD,0, , , , ,CHARLOTTE,NC,28269,Community,General,Developed,North,,,,9803141001,,,District 4,District 1,2003/07/11 00:00:00+00,,,1460042.412,587800.5253,Mecklenburg,35.351509,-80.811197
273,TEDD,Teddington Park,5517 FREEDOM DR,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28214,Neighborhood,General,Undeveloped,North,,,,9803141001,,,District 3,District 2,2003/07/11 00:00:00+00,,,1424012.932,557594.0288,Mecklenburg,35.265831,-80.930505
96,CTPP,Country Place Park,557 S TRADE ST,557,S,TRADE,ST,,MATTHEWS,NC,28105,Town Park,General,Developed,South,,,,7043217275,,,,District 6,,,,1483706.865,500003.8014,Matthews,35.111551,-80.726423
145,GREN,Greene Street Park,5612 GREENE ST,5612, ,GREENE,ST, ,CHARLOTTE,NC,28269,Neighborhood,General,Undeveloped,North,,,,9803141001,,,District 2,District 3,2017/04/17 00:00:00+00,,,1460390.855,572092.5675,Mecklenburg,35.308326,-80.808771
58,EPDO,Monroe Road Park,5715 MONROE RD,5715, ,MONROE,RD, ,CHARLOTTE,NC,28212,Neighborhood,General,Developed,South,,,,9803141003,,,District 5,District 4,2002/06/12 00:00:00+00,,,1472227.869,527689.4073,Mecklenburg,35.187256,-80.76666
53,MCIN,McIntyre Historic Site,5801 BEATTIES FORD RD,5801, ,BEATTIES FORD,RD, ,CHARLOTTE,NC,28216,Historic,Historic,Developed,North,,,,9803141001,,,District 2,District 2,1998/07/28 00:00:00+00,,,1444039.596,573817.5957,Mecklenburg,35.312383,-80.864177
131,ADMN,Administrative Office - Main,5841 BROOKSHIRE BV,5841, ,BROOKSHIRE,BV, ,CHARLOTTE,NC,28216,Operational,Misc,Operational,North,,,,9803141001,,,District 2,District 2,2007/07/09 00:00:00+00,,,1432352.085,562959.6106,Mecklenburg,35.282206,-80.90195
201,STPH,Buckeye Cove Nature Preserve,5901 STEPHENS RD,0, ,NO ADDRESS, ,NO,HUNTERSVILLE,NC,28078,Nature Preserve,General,Developed,North,,,,9803141001,,,,District 1,1998/07/28 00:00:00+00,,,1422651.546,606613.7284,Mecklenburg,35.173697,-80.979027
55,BERE,Berewick Recreation Center,5910 DIXIE RIVER RD,5910, ,DIXIE RIVER,RD, ,CHARLOTTE,NC,28208,Recreation Center,RecCenter,Developed,South,,,,9803141003,,,,District 2,2002/11/06 00:00:00+00,,,1408860.138,524108.9122,Mecklenburg,35.174279,-80.98036
162,UPST,Berewick Park,5920 DIXIE RIVER RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28208,Regional,General,Developed,South,,,,9803141003,,,,District 2,1998/10/06 00:00:00+00,,,1408120.605,523981.0722,Mecklenburg,35.238051,-80.816519
311,CORP,Cordelia Park,600 E 24TH ST,600,E,24TH,ST, ,CHARLOTTE,NC,28205,Community,General,Developed,Central,,,,9803141002,,,District 1,District 3,1998/08/12 00:00:00+00,,,1457990.582,546282.8773,Mecklenburg,35.19886,-80.857538
143,SEDF,Sedgefield Park,600 ELMHURST RD,600, ,ELMHURST,RD, ,CHARLOTTE,NC,28209,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1444953.404,532281.446,Mecklenburg,35.350354,-80.918333
319,CRAP,Carolina Raptor Center,6000 SAMPLE RD,6000, ,SAMPLE,RD, ,HUNTERSVILLE,NC,28216,Raptor Center,Raptor,Developed,North,,,,9803141001,,,,District 1,1998/07/28 00:00:00+00,,,1427937.708,588095.0327,Mecklenburg,35.209622,-80.850739
307,LATP,Latta Park,601 E PARK AV,601, ,EAST PARK,AV, ,CHARLOTTE,NC,28203,Community,General,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1447160.203,536339.0379,Mecklenburg,35.209622,-80.850739
27,BAUC,Baucom Park,601 SADIE DR,601,,SADIE,DR,,MATTHEWS,NC,28105,Town Park,General,Developed,South,,,,7043217275,,,,District 6,,,,1486318.649,499834.0088,Matthews,35.111247,-80.717628
315,NEVN,Nevin Park,6100 STATESVILLE RD,6100, ,STATESVILLE,RD, ,CHARLOTTE,NC,28269,Regional,General,Developed,North,,,,9803141001,,,District 2,District 3,2000/12/11 00:00:00+00,,,1451160.866,569885.1162,Mecklenburg,35.303599,-80.839078
31,SIXP,Sixteenth Street Park,620 E 16TH ST,620,E,16TH,ST, ,CHARLOTTE,NC,28206,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 3,1997/09/29 00:00:00+00,,,1455531.692,544477.2366,Mecklenburg,35.232057,-80.823459
235,PKTN,Park Road Tennis Center,6215 PARK RD,6215, ,PARK,RD, ,CHARLOTTE,NC,28210,Tennis Center,Sports,Developed,South,,,,9803141003,,,District 6,District 5,1998/07/28 00:00:00+00,,,1447106.945,513334.5081,Mecklenburg,35.146845,-80.848822
78,PKRD,Park Road Park,6220 PARK RD,6220, ,PARK,RD, ,CHARLOTTE,NC,28210,Community,General,Developed,South,,,,9803141003,,,District 6,District 5,1999/05/07 00:00:00+00,,,1447014.845,513334.3738,Mecklenburg,35.14633,-80.850138
259,MCEF,McEver Athletic Field,626 SOUTH ST,626,,SOUTH,ST,,DAVIDSON,NC,28036,Town Park,General,Developed,North,,,,7048923349,,,,District 1,,,,1449550.494,638675.8432,Davidson,35.489507,-80.849469
156,HORN,Hornets Nest Park,6301 BEATTIES FORD RD,6331, ,BEATTIES FORD,RD, ,CHARLOTTE,NC,28216,Regional,General,Developed,North,,,,9803141001,,,District 2,District 2,1998/07/28 00:00:00+00,,,1443656.172,576659.3389,Mecklenburg,35.319552,-80.868522
60,CALD,Caldwell Park,6301 CALDWELL PARK DR,0, , , ,NO,CHARLOTTE,NC,28213,Neighborhood,General,Undeveloped,North,,,,9803141001,,,,District 3,2016/09/01 00:00:00+00,,,1496887.174,572811.5644,Mecklenburg,35.310894,-80.687194
159,ROCK,Thereasea C. Elders Park,6325 ROCKWELL CHURCH RD,6325, ,ROCKWELL CHURCH,RD, ,CHARLOTTE,NC,28269,Neighborhood,General,Developed,North,,,,9803141001,,,District 2,District 3,1998/10/12 00:00:00+00,,,1463108.376,571111.2459,Mecklenburg,35.306233,-80.799995
195,DEVS,Devonshire Park,6330 BARRINGTON DR,6330, ,BARRINGTON,DR, ,CHARLOTTE,NC,28215,Neighborhood,General,Developed,North,,,,9803141001,,,District 1,District 3,1998/07/28 00:00:00+00,,,1478858.015,549509.8141,Mecklenburg,35.24728,-80.746054
220,LTNC,Quest at Latta Nature Preserve,6345 SAMPLE RD,6345, ,SAMPLE,RD, ,CHARLOTTE,NC,28078,Nature Center,General,Developed,North,,,,9803141129,,,,District 1,2016/07/06 00:00:00+00,,,1431481.004,590670.2947,Mecklenburg,35.35672,-80.907625
260,REDD,Reddman Road Park,6350 REDDMAN RD,6350, ,REDDMAN,RD, ,CHARLOTTE,NC,28212,Community,General,Undeveloped,South,,,,9803141003,,,District 5,District 4,2003/07/11 00:00:00+00,,,1477267.252,530855.0224,Mecklenburg,35.196899,-80.752353
247,UNTY,Unity Park,6401 KELSEY DR,6401, ,KELSEY,RD, ,CHARLOTTE,NC,28215,Neighborhood,General,Developed,North,,,,9803141001,,,District 5,District 3,1998/07/28 00:00:00+00,,,1476805.596,552276.8959,Mecklenburg,35.255279,-80.752969
169,YORK,Yorkmont Park,6417 VICKERS RD,6417, ,VICKERS,RD, ,CHARLOTTE,NC,28217,Neighborhood,General,Developed,South,,,,9803141003,,,District 3,District 2,1998/07/28 00:00:00+00,,,1431594.515,520191.6372,Mecklenburg,35.164084,-80.902119
317,STHS,Southside Park,645 REMOUNT RD,645, ,REMOUNT,RD, ,CHARLOTTE,NC,28203,Community,General,Developed,Central,,,,9803141002,,,District 3,District 2,1998/07/28 00:00:00+00,,,1440013.678,535946.9121,Mecklenburg,35.206957,-80.873015
34,BIGR,Big Rock Nature Preserve,6500 ELMSTONE DR,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28277,Nature Preserve,General,Developed,South,,,,9803141003,,,District 7,District 6,2002/03/18 00:00:00+00,,,1453468.38,482058.1874,Mecklenburg,35.061703,-80.826986
71,CMCP,Campbell Creek Park,6601 BARCLIFF DR,6601, ,BARCLIFFE,DR, ,CHARLOTTE,NC,28212,Community,General,Developed,South,,,,9803141003,,,District 5,District 4,1998/07/28 00:00:00+00,,,1481781.309,537915.1491,Mecklenburg,35.21579,-80.735186
287,MARM,Marmac Road Park,6602 TUCKASEEGEE RD,0, , , ,NO,CHARLOTTE,NC,28266,Community,General,Undeveloped,North,,,,9803141001,,,District 3,District 2,2008/04/21 00:00:00+00,,,1425065.211,549557.6427,Mecklenburg,35.245434,-80.935603
76,CEDR,Cedarwood Park,6624 REDDMAN RD,6624, ,REDDMAN,RD, ,CHARLOTTE,NC,28212,Neighborhood,General,Developed,South,,,,9803141003,,,District 5,District 4,1998/07/28 00:00:00+00,,,1477174.592,529105.6791,Mecklenburg,35.191989,-80.751129
