OBJECTID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,STREETSUFF,CITY,STATE,zipcode,PRKTYPE,PRKCAT,PRKSTATUS,PRKDIST,PRKSIZE,PRKXCOORD,PRKYCOORD,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,UPSIZE_TS,X,Y,LEASEDID,parklatitude,parklongitude
322,HEMS,Huntersville Elementary School,200 GILEAD RD,200,,GILEAD,RD,,HUNTERSVILLE,NC,28078,Town Park,General,Developed,North,,,,7047662220,,,,District 1,,,,1450080.015,610140.5695,Huntersville,35.411437,-80.84695
59,RAND,Randolph Road Park,201 BILLINGSLEY RD,201, ,BILLINGSLEY,RD, ,CHARLOTTE,NC,28205,Community,General,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1459459.577,529232.8006,Mecklenburg,35.191815,-80.809067
9,UNCC,Kirk Farm Fields Park,201 E MALLARD CREEK CHURCH RD,201,E,MALLARD CREEK CHURCH,RD, ,CHARLOTTE,NC,28262,Community,General,Developed,North,,,,9803141001,,,District 4,District 3,1998/07/28 00:00:00+00,,,1483260.637,576128.4647,Mecklenburg,35.320977,-80.731934
177,HVET,Veterans Park,201 HUNTERSVILLE-CONCORD RD,201,,HUNTERSVILLE-CONCORD,RD,,HUNTERSVILLE,NC,28078,Town Park,General,Developed,North,,,,7047662220,,,,District 1,,,,1451419.845,609620.1241,Huntersville,35.411142,-80.841263
192,WOOD,Double Oaks Family Aquatic Center,2014 STATESVILLE AV,2014, ,STATESVILLE,AV, ,CHARLOTTE,NC,28206,Aquatic Center,Sports,Developed,Central,,,,7043340308,,,District 1,District 3,2017/01/10 00:00:00+00,,,1451993.07,550910.3955,Mecklenburg,35.249896,-80.835379
103,WAHP,Walter Henderson Park,20214 TAILWIND LN,20214,,TAILWIND,LN,,CORNELIUS,NC,28031,Town Park,General,Developed,North,,,,7048926031,,,,District 1,,,,1435373.449,638517.8675,Cornelius,35.489528,-80.896465
46,ABER,Abernathy Park,205 GLENDALE DR,205,,GLENDALE,DR,,HUNTERSVILLE,NC,28078,Town Park,General,Developed,North,,,,7047662220,,,,District 1,,,,1452410.1,612667.1392,Huntersville,35.419346,-80.838062
314,BRNH,Rocky River Bluff Nature Preserve,20532 SHEARER RD,0, ,NO ADDRESS, , ,DAVIDSON,NC,28036,Nature Preserve,General,Developed,North,,,,9803141001,,,,District 1,2003/07/11 00:00:00+00,,,1467044.126,637081.3759,Mecklenburg,35.489467,-80.786609
36,MIDW,Midwood Park,2100 WILHELMINA AV,2100, ,WILHELMINA,AV, ,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1461718.342,543588.4661,Mecklenburg,35.22948,-80.802348
188,FIFP,Fisher Farm Park,21135 FISHER RD,21135,,FISHER,RD,,DAVIDSON,NC,28036,Town Park,General,Developed,North,,,,7048923349,,,,District 1,,,,1465396.678,639921.6245,Davidson,35.494878,-80.796456
